1,-1.6153029758592115
2,-1.8203242972347278
3,-2.0939149150876206
4,-2.590189612398526
5,-3.083408560029158
6,-3.5608048289961673
7,-4.048845132754319
8,-4.024610365358623
9,-3.9966866010893387
10,-4.453582919056188
11,-4.789815765157597
12,-4.773704274721768
13,-4.855771116936132
14,-4.849539095713203
15,-4.878434788480197
16 ,-4.868279497951118
17 ,-4.849301702530873
18,-4.845850283958971
19,-4.871835192718763
20,-4.874203073022205
21,-4.8813322793302625
22,-4.853127665666274
23,-4.854808124074121
24,-4.868749962209582
25,-4.851342257793107
26,-5.888046957778178
